game_id,title,issue_count,issues
404,Sea of Stars,0,
405,Door Kickers 2: Task Force North,2,categories: not sorted alphabetically; genres: not sorted alphabetically
406,Imposter 3D: online horror,0,
407,Sneaky Stealy,0,
408,Totemori,0,
409,Snap the Sentinel - Episode 1,0,
410,Fury Unleashed: Prologue,0,
411,Sep's Diner (Oculus Quest),0,
412,Wild Woods,0,
413,Streets of Rogue,0,
414,Ancient Swarm,0,
415,The Choicer Voicer,0,
416,Pikwip,0,
419,Bubble Bobble C64 Remastered,0,
420,TowerFall 8-Player,0,
421,Sticky Cats,0,
422,0 A.D: Empires Ascendant,0,
424,M.U.L.E. Online,0,
425,Touhou Fumo Racing,0,
426,Dumpy and Bumpy,0,
427,Royal Revolt Survivors,0,
428,Aaero2: Black Razor Edition,1,categories: not sorted alphabetically
429,Rising Heat,0,
430,Esophaguys,0,
431,Bee Simulator: The Hive,1,categories: not sorted alphabetically
432,Jaleco Sports: Goal!,0,
433,Anima Flux,1,categories: not sorted alphabetically
434,Welcome to Empyreum,1,categories: not sorted alphabetically
435,The DUNGENERATOR: DIE in a Dungeon,0,
436,Tanks of Freedom,0,
437,Cro-Mag Rally,0,
438,The King of Fighters: Final attack,0,
439,Tiger Claw,0,
440,Chair Up!,0,
443,Hyper Gunsport,0,
444,Hit-X,0,
446,Aichi Emperors Zero,0,
447,NARCISSUS,0,
448,StarCrossed,0,
449,Caveman Warriors,0,
450,Rakete,0,
451,FiZZ (VIC-20),0,
452,Marco Polo,0,
453,Scarecrow COOP,0,
454,"FiZZ (Commodore 64, C64)",0,
455,Fixeight,0,
456,Combat Mission Final Blitzkrieg,1,categories: not sorted alphabetically
457,Combat Mission Fortress Italy,1,categories: not sorted alphabetically
458,Tavernacle!,0,
459,Fire Shark,0,
460,Hellfire,0,
461,Combat Mission Red Thunder,1,categories: not sorted alphabetically
462,Volley Pals,0,
463,Chut!,0,
464,Isolated Intelligence,0,
465,Bar Keep,0,
466,Shroom Bois,0,
467,Malisse,0,
468,Octopounce,0,
469,Ducktonic Adventures,0,
470,Hakros DRUGOD TV The Survival Games (Map for Doom ,0,
471,Yakuzakura,0,
472,Panique à Temple A-Steak,0,
473,Project Socket,0,
474,Tower of Freedom,0,
475,Community Egg,0,
476,Safe Space,0,
477,Pangman DEMO for Quest,0,
478,A.L.F.I.E's GAME,0,
479,Shackle,0,
480,Easy Delivery Co. Demo,0,
482,TORB,0,
483,Twin Cobra,0,
484,Funtasia,0,
485,EpicShop,0,
487,Lurking Danger,0,
488,LegacyClonk,0,
490,Quest Of Graal DX,0,
491,Garrison: Archangel (DEMO),0,
493,Obnubilia,0,
494,beaterCore,0,
495,Escape From Castle Matsumoto,0,
496,Super Pilot,0,
497,Wacky Wheels HD,0,
498,Classic TAGAP,0,
499,Flotilla,0,
500,Tomb of Rooms,0,
501,Damaged Territory,0,
502,Pretend Cars Racing,0,
503,TopplePOP Demo,0,
504,Felony Felines!,0,
505,Black Ice (Early Access),0,
506,Super Crate Box Together,0,
507,Nick Tower,0,
508,Tvö,0,
509,Partners In Uncertainty,0,
510,Never BreakUp,0,
511,Galoria Sandbox: Online,0,
512,Crisis At R.W.P. Inc.,0,
513,Wilds of the Realmwalker - Public Playtest,0,
514,Keep Painting,0,
515,Thing & Fist,0,
516,I'm Lag,0,
517,Speedy Golf,0,
518,Everwind,2,categories: not sorted alphabetically; genres: not sorted alphabetically
519,Project Castaway,2,categories: not sorted alphabetically; genres: not sorted alphabetically
520,Dragonkin: The Banished,0,
521,Tower Tag,2,categories: not sorted alphabetically; genres: not sorted alphabetically
522,Pizza Slice,2,categories: not sorted alphabetically; genres: not sorted alphabetically
523,WWE 2K26,0,
524,John Carpenter's Toxic Commando,0,
525,Mama's Sleeping Angels,0,
526,Rewind 99,2,categories: not sorted alphabetically; genres: not sorted alphabetically
527,Over The Top: WWI,2,categories: not sorted alphabetically; genres: not sorted alphabetically
528,HexBreaker Ⅱ,2,categories: not sorted alphabetically; genres: not sorted alphabetically
529,Slay the Spire 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
530,Desynced,2,categories: not sorted alphabetically; genres: not sorted alphabetically
531,DYSPLACED,2,categories: not sorted alphabetically; genres: not sorted alphabetically
532,Never Grave: The Witch and The Curse,2,categories: not sorted alphabetically; genres: not sorted alphabetically
533,Rotwood,0,
534,Scott Pilgrim EX,0,
535,Sundered: Eldritch Edition,0,
536,GuessMe!,0,
